number,rank,title,recruitment,recruitment_bin,postedresults,resultsarrived_bin,conditions,intervention.merge,phase2,enrollment,gender,fund_source_grp,interventionmodel,randomized,purpose,yearreceived,yearstart,primarylength,intervention.model,phase,masking,testing,masking2,enrollment.log,enrollment.log.cut
464,479,low dose naltrexone in symptomatic inflammatory bowel disease,Withdrawn,7,0,0,Inflammatory Bowel Disease|Crohn's Disease|Ulcerative Colitis,drug or biologic,Early,NA,All,AllOther,1,0,0,2013,2013,365,1,Phase 2,4,NA,2,NA,NA
3005,4030,a research study on how semaglutide works in people with fatty liver disease and liver damage,Completed,4,0,0,Non-alcoholic Steatohepatitis,drug or biologic,Early,65,All,Industry&Combos,1,0,0,2019,2019,674,1,Phase 2,4,NA,2,4.174387269895637,"(4,5]"
3092,4183,dose response study of gsk2330672 for the treatment of pruritus in participants with primary biliary cholangitis,Completed,4,1,1,Cholestasis,drug or biologic,Early,147,All,Industry&Combos,1,0,0,2016,2017,1190,1,Phase 2,2,NA,2,4.990432586778736,"(4,5]"
2923,3924,"a phase 2a, proof-of-concept study of gic-1001 in the management of visceral pain during sedation-free, full colonoscopy",Completed,4,1,1,Pain|Cancer|Colonic Diseases,drug or biologic,Early,308,All,Industry&Combos,1,0,1,2013,2013,243,1,Phase 2,4,NA,2,5.730099782973574,"(5,6]"
2958,3965,a study assessing the efficacy and safety of cbp-307 in subjects with moderate to severe ulcerative colitis (uc),Recruiting,2,0,0,Moderate to Severe Ulcerative Colitis,drug or biologic,Early,134,All,Industry&Combos,1,0,0,2021,2019,1008,1,Phase 2,4,safety/efficacy,2,4.897839799950911,"(4,5]"
253,257,study of neoadjuvent chemotherapy followed by sbrt in patients with resectable and borderline resectable pancreatic cancer,Withdrawn,7,0,0,Pancreatic Cancer|Pancreatic Adenocarcinoma,drug or biologic,Early,NA,All,AllOther,0,NA,0,2019,2019,915,0,Phase 2,1,NA,1,NA,NA
3951,7368,binimetinib and palbociclib or tas-102 in treating patients with kras and nras mutant metastatic or unresectable colorectal cancer,"Active, not recruiting",1,0,0,Metastatic Colorectal Carcinoma|Stage IV Colorectal Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8|Unresectable Carcinoma,drug or biologic,Early,101,All,NIH&Combos,3,0,0,2019,2019,483,3,Phase 2,0,NA,0,4.61512051684126,"(4,5]"
490,508,prebiotic to improve calcium absorption,Completed,4,0,0,Obesity,other,Others,20,Female,NA,1,0,4,2017,2017,801,1,Others,4,NA,2,2.995732273553991,"(2,3]"
2058,2442,mepo for eoe study,Recruiting,2,0,0,EoE|Eosinophilic Esophagitis,drug or biologic,Early,72,All,Industry&Combos,1,0,0,2018,2019,1169,1,Phase 2,3,NA,2,4.276666119016055,"(4,5]"
3555,5458,a study evaluating participants with moderately to severely active crohn's disease,Recruiting,2,0,0,Crohn Disease,drug or biologic,Early,90,All,Industry&Combos,1,0,0,2019,2019,826,1,Phase 2,4,NA,2,4.499809670330265,"(4,5]"
926,973,fexofenadine use in gastroesophageal reflux symptoms,Terminated,5,1,1,Gastroesophageal Reflux,drug or biologic,Early,11,All,AllOther,3,0,0,2018,2018,335,3,Phase 2,2,NA,2,2.3978952727983707,"(2,3]"
3815,6761,olanzapine for nausea after surgery,Completed,4,1,1,Postoperative Nausea and Vomiting,drug or biologic,Early,180,Female,AllOther,1,0,1,2016,2016,1252,1,Phase 2,3,NA,2,5.19295685089021,"(5,6]"
3260,4585,study of safety and efficacy of tropifexor (ljn452) in patients with non-alcoholic steatohepatitis (nash),Completed,4,0,0,Non-alcoholic Steatohepatitis (NASH),drug or biologic,Early,351,All,Industry&Combos,1,0,0,2016,2016,1344,1,Phase 2,3,safety/efficacy,2,5.860786223465865,"(5,6]"
2405,3102,"study of the safety and efficacy of hydrocortisone acetate suppositories, 25 mg in the treatment of symptomatic internal hemorrhoids",Completed,4,0,0,Internal Hemorrhoids,drug or biologic,Early,103,All,Industry&Combos,1,0,0,2017,2019,752,1,Phase 2,4,safety/efficacy,2,4.634728988229636,"(4,5]"
286,291,acp-196 alone and in combination with pembrolizumab in subjects with advanced or metastatic pancreatic cancer,Completed,4,1,1,Metastatic Pancreatic Cancer,drug or biologic,Early,77,All,Industry&Combos,1,0,0,2015,2015,670,1,Phase 2,0,NA,0,4.343805421853684,"(4,5]"
2097,2505,efficacy of oral vancomycin prophylaxis for prevention of recurrent clostridium difficile infection,Recruiting,2,0,0,Recurrent Clostridium Difficile Infection|Clostridium Difficile Infection|CDI|C.Difficile Diarrhea|C. Diff Colitis|C.Difficile Colitis,drug or biologic,Early,150,All,AllOther,1,0,1,2018,2018,1136,1,Phase 2,2,efficacy,2,5.0106352940962555,"(5,6]"
157,157,molecularly tailored therapy to standard of care as second-line therapy in metastatic pancreatic cancer,Withdrawn,7,0,0,Metastatic Pancreatic Cancer,drug or biologic,Early,NA,All,Industry&Combos,1,0,0,2016,2016,667,1,Phase 2,0,NA,0,NA,NA
2984,4001,efficacy and safety of oral bt-11 in mild to moderate ulcerative colitis,"Active, not recruiting",1,0,0,Ulcerative Colitis,drug or biologic,Early,198,All,Industry&Combos,1,0,0,2019,2019,687,1,Phase 2,3,safety/efficacy,2,5.288267030694535,"(5,6]"
3169,4336,a double-blind study to assess 2 doses of an investigational product for 16 weeks in participants with non-alcoholic fatty liver disease and type 2 diabetes mellitus,Completed,4,0,0,Non-alcoholic Steatohepatitis,drug or biologic,Early,164,All,Industry&Combos,1,0,4,2019,2019,593,1,Phase 2,2,NA,2,5.099866427824199,"(5,6]"
3942,7350,irinotecan and cetuximab with or without bevacizumab in treating patients with ras wild-type locally advanced or metastatic colorectal cancer that cannot be removed by surgery,Completed,4,1,1,Colorectal Adenocarcinoma|RAS Wild Type|Stage IV Colorectal Cancer AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7,drug or biologic,Early,36,All,NIH&Combos,1,0,0,2014,2014,1559,1,Phase 2,2,NA,2,3.58351893845611,"(3,4]"
3148,4281,treatment of septic shock by inhibiting autodigestion and preserving gut integrity with enteric lb1148,Terminated,5,1,1,Septic Shock,drug or biologic,Early,8,All,Industry&Combos,1,0,0,2014,2015,335,1,Phase 2,3,NA,2,2.0794415416798357,"(2,3]"
3053,4104,randomized embolization trial for neuroendocrine tumor metastases to the liver,Recruiting,2,0,0,"Neuroendocrine Tumor, Malignant|Liver Metastases",drug or biologic,Early,180,All,Industry&Combos,1,0,0,2016,2016,2556,1,Phase 2,0,NA,0,5.19295685089021,"(5,6]"
812,849,autologous stem cell transplant for crohn's disease,Recruiting,2,0,0,Crohn Disease,drug or biologic,Early,50,All,AllOther,0,NA,0,2017,2017,1846,0,Phase 2,1,NA,1,3.912023005428146,"(3,4]"
3019,4054,"efficacy, safety and tolerability of pf-06687234 as add-on therapy to infliximab in active uc subjects not in remission.",Terminated,5,0,0,Ulcerative Colitis,drug or biologic,Early,20,All,Industry&Combos,1,0,0,2017,2017,1114,1,Phase 2,3,safety/efficacy,2,2.995732273553991,"(2,3]"
3733,6254,folfiri and panitumumab in treating patients with ras and braf wild-type metastatic colorectal cancer,Terminated,5,1,1,Recurrent Colorectal Carcinoma|Stage IVA Colorectal Cancer|Stage IVB Colorectal Cancer,drug or biologic,Early,1,All,NIH&Combos,0,NA,0,2015,2016,575,0,Phase 2,1,NA,1,0,NA
736,770,combination of tate and pd-1 inhibitor in liver cancer,Recruiting,2,0,0,Hepatocellular Carcinoma|Colorectal Neoplasms|Gastric Cancer|Lung Cancer,drug or biologic,Early,80,All,Industry&Combos,0,1,0,2017,2017,1644,0,Phase 2,1,NA,1,4.382026634673881,"(4,5]"
2938,3939,"study to evaluate the safety, tolerability, and efficacy of cilofexor in adults with primary biliary cholangitis without cirrhosis",Terminated,5,1,1,Primary Biliary Cholangitis,drug or biologic,Early,71,All,Industry&Combos,1,0,0,2016,2016,1007,1,Phase 2,2,safety/efficacy,2,4.2626798770413155,"(4,5]"
2443,3176,interventional bioremediation of microbiota in metabolic syndrome,Terminated,5,1,1,Pre-Diabetes,drug or biologic,Early,12,All,AllOther,1,0,0,2016,2016,579,1,Phase 2,2,NA,2,2.4849066497880004,"(2,3]"
1989,2340,a pilot evaluation of bli4900 bowel preparation in adult subjects,Completed,4,0,0,Colonoscopy,drug or biologic,Early,143,All,Industry&Combos,NA,1,0,2017,2017,733,NA,Phase 2,0,NA,0,4.962844630259907,"(4,5]"
4179,9236,safety and immunogenicity of norovirus gi.1/gii.4 bivalent virus-like particle vaccine in an elderly population,Completed,4,1,1,Norovirus,drug or biologic,Early,320,All,Industry&Combos,1,0,1,2016,2016,270,1,Phase 2,4,safety,2,5.768320995793772,"(5,6]"
746,781,pangea-imbbp: personalized antibodies for gastro-esophageal adenocarcinoma - a 1st pilot metastatic trial of biologics beyond progression,Completed,4,1,1,Adenocarcinoma,drug or biologic,Early,80,All,Industry&Combos,1,1,0,2014,2015,1838,1,Phase 2,0,NA,0,4.382026634673881,"(4,5]"
1108,1172,exist study of ly2157299 (galunisertib) in rectal cancer,Recruiting,2,0,0,Rectal Adenocarcinoma,drug or biologic,Early,50,All,Industry&Combos,0,NA,0,2016,2016,2009,0,Phase 2,1,NA,1,3.912023005428146,"(3,4]"
1417,1524,palbociclib and cetuximab in metastatic colorectal cancer,Recruiting,2,0,0,"Cancer of the Colon|Colon Cancer|Colon Neoplasms|Colonic Cancer|Neoplasms, Colonic",drug or biologic,Early,57,All,Industry&Combos,0,NA,0,2018,2018,1767,0,Phase 2,1,NA,1,4.04305126783455,"(4,5]"
417,428,nivolumab and ipilimumab and radiation therapy in mss and msi high colorectal and pancreatic cancer,Recruiting,2,0,0,Microsatellite Stable Colorectal Cancer|Pancreatic Cancer|MSI High Colorectal Cancer,drug or biologic,Early,80,All,Industry&Combos,0,NA,0,2017,2017,1908,0,Phase 2,1,NA,1,4.382026634673881,"(4,5]"
2631,3534,"phase 2, nab paclitaxel/gemcitabine alone and in combination with acp-196 in subjects with metastatic pancreatic cancer",Terminated,5,1,1,Metastatic Pancreatic Cancer,drug or biologic,Early,3,All,Industry&Combos,1,0,0,2015,2015,171,1,Phase 2,1,NA,1,1.0986122886681098,"(1,2]"
2619,3520,mrx-800: a long-term safety study of maralixibat in the treatment of cholestatic liver disease in subjects who previously participated in a maralixibat study,Enrolling by invitation,3,0,0,Cholestatic Liver Disease,drug or biologic,Early,124,All,Industry&Combos,0,NA,0,2019,2019,1780,0,Phase 2,1,safety,1,4.820281565605037,"(4,5]"
305,310,role of interim 18f-flt pet/ct for outcome prediction in pancreatic adenocarcinoma,"Active, not recruiting",1,0,0,Pancreatic Adenocarcinoma,drug or biologic,Early,6,All,AllOther,0,NA,2,2017,2017,1481,0,Phase 2,1,NA,1,1.791759469228055,"(1,2]"
1573,1716,docusate/senna for the treatment of diabetic gastroparesis,Terminated,5,1,1,Diabetic Gastroparesis,drug or biologic,Early,2,All,AllOther,1,0,0,2017,2018,137,1,Phase 2,1,NA,1,0.6931471805599453,"(0,1]"
3209,4466,a phase 2b study of icosabutate in fatty liver disease,Recruiting,2,0,0,Non Alcoholic Steatohepatitis (NASH),drug or biologic,Early,264,All,Industry&Combos,1,0,0,2019,2019,719,1,Phase 2,4,NA,2,5.575949103146316,"(5,6]"
3176,4365,study on the effectiveness and safety of the combination of the two drugs regorafenib and nivolumab in patients with colorectal cancer (cancer of the colon or rectum classified as proficient mismatch repair and microsatellite stable),"Active, not recruiting",1,0,0,Colorectal Cancer,drug or biologic,Early,70,All,Industry&Combos,0,NA,0,2019,2019,394,0,Phase 2,1,safety,1,4.248495242049359,"(4,5]"
2148,2584,open-label study to evaluate mn-001 on hdl & triglyceride in nash & nafld subjects,Completed,4,0,0,Non-alcoholic Steatohepatitis|Hypertriglyceridemia|Non-alcoholic Fatty Liver Disease|Hypercholesterolemia,drug or biologic,Early,19,All,Industry&Combos,0,NA,0,2016,2016,820,0,Phase 2,1,NA,1,2.9444389791664403,"(2,3]"
886,930,"danvatirsen and durvalumab in treating patients with advanced and refractory pancreatic, non-small cell lung cancer, and mismatch repair deficient colorectal cancer","Active, not recruiting",1,0,0,Advanced Colorectal Carcinoma|Advanced Lung Non-Small Cell Carcinoma|Lung Non-Small Cell Carcinoma|Mismatch Repair Deficiency|Refractory Colorectal Carcinoma|Refractory Lung Carcinoma|Refractory Pancreatic Carcinoma|Stage II Pancreatic Cancer AJCC v8|Stage III Colorectal Cancer AJCC v8|Stage III Lung Cancer AJCC v8|Stage III Pancreatic Cancer AJCC v8|Stage IIIA Colorectal Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Colorectal Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIC Colorectal Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IV Colorectal Cancer AJCC v8|Stage IV Lung Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8,drug or biologic,Early,53,All,IndustryNIHPartnership,0,NA,0,2016,2017,1490,0,Phase 2,1,NA,1,3.970291913552122,"(3,4]"
3587,5604,"phase 2 randomized, double-blind, placebo-controlled, parallel group trial of linaclotide administered to patients with opioid-induced constipation receiving chronic opioid treatment for non-cancer pain",Completed,4,1,1,Opioid-Induced Constipation,drug or biologic,Early,254,All,Industry&Combos,1,0,0,2014,2014,304,1,Phase 2,4,NA,2,5.537334267018537,"(5,6]"
124,124,"perioperative mvt-5873, a fully human monoclonal antibody against a ca 19-9 epitope, for operable ca 19-9 producing pancreatic cancers, cholangiocarcinomas, and metastatic colorectal cancers",Recruiting,2,0,0,Colon Cancer|Pancreatic Cancer|Cholangiocarcinoma|Mestatic Colon Carcinoma|Liver Metastasis,drug or biologic,Early,105,All,NIH&Combos,NA,1,0,2019,2019,1509,NA,Phase 2,0,NA,0,4.653960350157523,"(4,5]"
2649,3554,study of bgb-290 or placebo in participants with advanced or inoperable gastric cancer,"Active, not recruiting",1,0,0,Advanced or Inoperable Gastric Cancer,drug or biologic,Early,136,All,Industry&Combos,1,0,0,2018,2018,786,1,Phase 2,2,NA,2,4.912654885736052,"(4,5]"
994,1049,the effects of patiromer on serum potassium level and gut microbiome of esrd patients with hyperkalemia,Unknown status,8,0,0,ESRD|Hyperkalemia|End Stage Renal Disease,drug or biologic,Early,25,All,AllOther,3,1,0,2017,2017,516,3,Phase 2,0,NA,0,3.2188758248682006,"(3,4]"
3349,4864,rollover protocol for subjects who have responded on study 4218s - a phase 2 study,Completed,4,0,0,Neuroendocrine Tumors,drug or biologic,Early,7,All,Industry&Combos,0,NA,0,2014,2014,609,0,Phase 2,1,NA,1,1.9459101490553132,"(1,2]"
397,408,"durvalumab and ""booster"" radiation in metastatic adenocarcinoma of the pancreas","Active, not recruiting",1,0,0,Adenocarcinoma of the Pancreas,drug or biologic,Early,39,All,Industry&Combos,0,NA,0,2018,2018,2510,0,Phase 2,1,NA,1,3.6635616461296463,"(3,4]"
1267,1352,"safety, tolerability and efficacy of saroglitazar mg 4 mg in liver transplant recipients with nafld",Recruiting,2,0,0,Liver Transplant; Complications|NAFLD,drug or biologic,Early,15,All,Industry&Combos,0,NA,0,2018,2019,1010,0,Phase 2,1,safety/efficacy,1,2.70805020110221,"(2,3]"
1700,1881,the efficacy of probiotics to reduce antepartum group b streptococcus colonization.,"Active, not recruiting",1,0,0,Group B Streptococcus Carrier in Childbirth|Gastrointestinal Symptoms,drug or biologic,Early,116,Female,AllOther,2,0,1,2018,2019,880,1,Phase 2,3,efficacy,2,4.7535901911063645,"(4,5]"
2448,3188,a safety and efficacy study of dcl-101 compared to golytely,Completed,4,0,0,Bowel Preparation Before Colonoscopy,drug or biologic,Early,46,All,Industry&Combos,1,0,0,2016,2017,304,1,Phase 2,2,safety/efficacy,2,3.828641396489095,"(3,4]"
2564,3444,phase 2 study of amg 337 in met amplified gastric/esophageal adenocarcinoma or other solid tumors,Terminated,5,0,0,Stomach Neoplasms,drug or biologic,Early,60,All,Industry&Combos,0,NA,0,2013,2014,973,0,Phase 2,1,NA,1,4.0943445622221,"(4,5]"
2595,3491,"efficacy, safety, and pharmacokinetics of apt-1011 in subjects with eosinophilic esophagitis (eoe)",Completed,4,0,0,Eosinophilic Esophagitis,drug or biologic,Early,106,All,Industry&Combos,1,0,0,2017,2017,560,1,Phase 2,4,safety/efficacy,2,4.663439094112067,"(4,5]"
3375,4979,study of a monoclonal antibody khk4083 in moderate ulcerative colitis,Completed,4,1,1,"Ulcerative Colitis|Digestive System Diseases|Colitis, Ulcerative|Colitis|Gastrointestinal Diseases|Inflammatory Bowel Diseases|Intestinal Diseases|Colonic Diseases|Autoimmune Disease|Abdominal Pain",drug or biologic,Early,66,All,Industry&Combos,NA,0,0,2016,2016,822,NA,Phase 2,4,NA,2,4.189654742026425,"(4,5]"
1082,1142,"sequential, related donor partial liver transplantation followed by bone marrow transplantation for hepatocellular carcinoma (hcc)",Withdrawn,7,0,0,Fibrolamellar Hepatocellular Carcinoma|Hepatocellular Carcinoma (Fibrolamellar Variant)|Hepatocellular Carcinoma,drug or biologic,Early,NA,All,AllOther,0,NA,0,2016,2016,673,0,Phase 2,1,NA,1,NA,NA
2571,3457,trial of mfolfox6 + trastuzumab + avelumab in gastric and esophageal adenocarcinomas,"Active, not recruiting",1,0,0,Gastric Adenocarcinoma|Esophageal Adenocarcinoma|Metastasis|HER-2 Gene Amplification,drug or biologic,Early,18,Female,Industry&Combos,0,NA,0,2018,2019,596,0,Phase 2,1,NA,1,2.8903717578961645,"(2,3]"
3746,6329,linaclotide safety and efficacy in 2 to 5-year-old participants with functional constipation,Completed,4,0,0,Functional Constipation,drug or biologic,Early,35,All,Industry&Combos,NA,0,0,2019,2019,554,NA,Phase 2,3,safety/efficacy,2,3.5553480614894135,"(3,4]"
959,1009,efficacy and safety of bisacodyl and lactulose as a preparation for colonoscopy,Completed,4,1,1,Colonoscopy Preparation,drug or biologic,Early,32,All,Industry&Combos,0,1,0,2014,2014,122,0,Phase 2,1,safety/efficacy,1,3.4657359027997265,"(3,4]"
2108,2519,a randomized controlled clinical trial of thymoglobulin ® after liver transplantation,Completed,4,1,1,Liver Failure,drug or biologic,Early,110,All,AllOther,1,0,0,2015,2015,938,1,Phase 2,0,NA,0,4.700480365792417,"(4,5]"
760,796,pilot study of fundamental modification of the gut microbiota in the treatment of refractory crohn's disease,Completed,4,0,0,Crohn Disease,drug or biologic,Early,10,All,NIH&Combos,1,0,0,2018,2018,903,1,Phase 2,4,NA,2,2.302585092994046,"(2,3]"
3026,4064,vedolizumab iv in pediatric participants with ulcerative colitis (uc) or crohn's disease (cd),Completed,4,1,1,Ulcerative Colitis|Crohn's Disease,drug or biologic,Early,89,All,Industry&Combos,1,0,0,2017,2017,874,1,Phase 2,3,NA,2,4.48863636973214,"(4,5]"
762,798,"tas 102 in combination with ramucirumab in advanced, refractory gastric or gastroesophageal junction (gej) adenocarcinoma",Recruiting,2,0,0,Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Gastric Cancer,drug or biologic,Early,25,All,AllOther,0,NA,0,2018,2018,1129,0,Phase 2,1,NA,1,3.2188758248682006,"(3,4]"
761,797,proton beam therapy in the treatment of esophageal cancer,Recruiting,2,0,0,Esophagus Cancer|Esophageal Cancer|Cancer of the Esophagus,other,Others,40,All,AllOther,1,1,0,2018,2018,1472,1,Others,0,NA,0,3.6888794541139363,"(3,4]"
3563,5481,"study of 5-fu, oxaliplatin, & lapatinib combined with radiation therapy to treat her2 positive esophagogastric cancer",Terminated,5,1,1,HER2 Positive Esophagogastric Cancer,drug or biologic,Early,12,All,Industry&Combos,0,NA,0,2013,2013,365,0,Phase 2,1,NA,1,2.4849066497880004,"(2,3]"
3618,5706,p:ii above-label octreotide-lar with insufficiently controlled carcinoid syndrome,Terminated,5,1,1,Neuroendocrine Carcinoma,drug or biologic,Early,2,All,Industry&Combos,0,NA,0,2013,2013,243,0,Phase 2,1,NA,1,0.6931471805599453,"(0,1]"
3617,5702,a study evaluating tas-102 plus nivolumab in patients with mss crc,Completed,4,0,0,Refractory Metastatic Colorectal Cancer,drug or biologic,Early,35,All,Industry&Combos,0,NA,0,2016,2016,459,0,Phase 2,1,NA,1,3.5553480614894135,"(3,4]"
3894,7187,open-label extension of cp101 trials evaluating oral full-spectrum microbiotaâ„¢ (cp101) in subjects with recurrence of clostridium difficile infection,"Active, not recruiting",1,0,0,Clostridium Difficile Infection|Recurrent Clostridium Difficile Infection|C. Diff|CDI|Recurrent C. Diff|rCDI|C. Difficile|Recurrent CDI|FMT|Fecal Microbiota|Fecal Transplant,drug or biologic,Early,70,All,Industry&Combos,0,NA,0,2018,2018,975,0,Phase 2,1,NA,1,4.248495242049359,"(4,5]"
4053,7684,study of idn-6556 in patients with severe alcoholic hepatitis and contraindications to steroid therapy,Terminated,5,1,1,Alcoholic Hepatitis,drug or biologic,Early,5,All,IndustryNIHPartnership,1,0,0,2013,2013,761,1,Phase 2,4,NA,2,1.6094379124341003,"(1,2]"
2714,3638,efficacy and safety of filgotinib in the treatment of small bowel crohn's disease (sbcd),Completed,4,0,0,Small Bowel Crohn's Disease,drug or biologic,Early,78,All,Industry&Combos,1,0,0,2017,2017,1196,1,Phase 2,2,safety/efficacy,2,4.356708826689592,"(4,5]"
2347,2979,"to assess safety, tolerability and efficacy of ljn452 in patients with primary bile acid diarrhea.",Completed,4,1,1,Primary Bile Acid Diarrhea,drug or biologic,Early,20,All,Industry&Combos,3,0,0,2016,2016,740,3,Phase 2,4,safety/efficacy,2,2.995732273553991,"(2,3]"
1614,1769,telotristat ethyl to promote weight stability in patients with advanced stage pancreatic cancer,Recruiting,2,0,0,Locally Advanced Unresectable Pancreatic Adenocarcinoma|Metastatic Pancreatic Adenocarcinoma|Recurrent Pancreatic Adenocarcinoma|Stage III Pancreatic Cancer AJCC v8|Stage IV Pancreatic Cancer AJCC v8,drug or biologic,Early,80,All,Industry&Combos,1,0,4,2019,2019,898,1,Phase 2,0,NA,0,4.382026634673881,"(4,5]"
912,958,a safety and efficacy study of daikenchuto (tu-100) to relieve abdominal bloating in female subjects with irritable bowel syndrome,Completed,4,0,0,Irritable Bowel Syndrome in Females,drug or biologic,Early,101,Female,Industry&Combos,1,0,0,2014,2014,640,1,Phase 2,4,safety/efficacy,2,4.61512051684126,"(4,5]"
2014,2377,pilot trial of resistant starch in stage i-iii colorectal cancer survivors,Terminated,5,0,0,Colon Cancer|Rectal Cancer|Cancer Survivor|Colorectal Adenocarcinoma|Stage I Colorectal Cancer AJCC v8|Stage II Colorectal Cancer AJCC v8|Stage IIA Colorectal Cancer AJCC v8|Stage IIB Colorectal Cancer AJCC v8|Stage IIC Colorectal Cancer AJCC v8|Stage III Colorectal Cancer AJCC v8|Stage IIIA Colorectal Cancer AJCC v8|Stage IIIB Colorectal Cancer AJCC v8|Stage IIIC Colorectal Cancer AJCC v8,other,Others,7,All,NIH&Combos,1,0,1,2018,2019,513,1,Others,2,NA,2,1.9459101490553132,"(1,2]"
2687,3604,"a study to evaluate the safety, tolerability, and activity of tak-931 in participants with metastatic pancreatic cancer, metastatic colorectal cancer, and other advanced solid tumors",Completed,4,0,0,"Metastatic Pancreatic Cancer|Colorectal Cancer|Esophageal Neoplasms|Carcinoma, Non-small-cell Lung",drug or biologic,Early,101,All,Industry&Combos,0,NA,0,2017,2017,1034,0,Phase 2,1,safety,1,4.61512051684126,"(4,5]"
1039,1094,investigation of the gut microbiota in regulating nutrient absorption in humans,Completed,4,1,1,Obesity,drug or biologic,Early,27,All,NIH&Combos,3,0,1,2014,2014,1900,3,Phase 2,3,NA,2,3.295836866004329,"(3,4]"
301,306,low-dose radiation therapy to the whole liver with gemcitabine and cisplatin in ihc,Terminated,5,1,1,Intrahepatic Cholangiocarcinoma,drug or biologic,Early,6,All,AllOther,0,NA,0,2014,2014,731,0,Phase 2,1,NA,1,1.791759469228055,"(1,2]"
2685,3602,high or standard intensity radiation therapy after gemcitabine hydrochloride and nab-paclitaxel in treating patients with pancreatic cancer that cannot be removed by surgery,Terminated,5,1,1,Pancreatic Adenocarcinoma|Stage III Pancreatic Cancer,drug or biologic,Early,20,All,NIH&Combos,1,0,0,2013,2013,1035,1,Phase 2,0,NA,0,2.995732273553991,"(2,3]"
367,375,treating anorectal dysfunction in ms,Terminated,5,1,1,Constipation|Fecal Incontinence|Multiple Sclerosis,drug or biologic,Early,11,All,AllOther,1,0,0,2015,2016,883,1,Phase 2,3,NA,2,2.3978952727983707,"(2,3]"
491,509,nivolumab in preventing colon adenomas in participants with lynch syndrome and a history of partial colectomy,"Active, not recruiting",1,0,0,Colon Adenoma|Colon Carcinoma|Lynch Syndrome|MLH1 Gene Mutation|MSH2 Gene Mutation,drug or biologic,Early,3,All,NIH&Combos,0,NA,1,2018,2018,863,0,Phase 2,1,NA,1,1.0986122886681098,"(1,2]"
3416,5167,sofosbuvir (gs-7977) in combination with peg and ribavirin for 12 weeks in treatment experienced subjects with chronic hcv infection genotype 2 or 3,Completed,4,1,1,Hepatitis C,drug or biologic,Early,47,All,Industry&Combos,0,NA,0,2013,2013,212,0,Phase 2,1,NA,1,3.8501476017100584,"(3,4]"
905,950,paclitaxel protein bound plus cisplatin plus gemcitabine and paricalcitol for pancreatic adenocarcinoma (nabplagemd),"Active, not recruiting",1,0,0,Pancreatic Cancer|Pancreatic Ductal Adenocarcinoma|Pancreatic Adenocarcinoma|Pancreas Metastases|Adenocarcinoma,drug or biologic,Early,14,All,AllOther,0,NA,0,2018,2018,1430,0,Phase 2,1,NA,1,2.6390573296152584,"(2,3]"
3710,6195,"safety, tolerability, and efficacy of gs-4997 alone or in combination with simtuzumab (sim) in adults with nonalcoholic steatohepatitis (nash) and fibrosis stages f2-f3",Completed,4,1,1,Non-Alcoholic Steatohepatitis (NASH),drug or biologic,Early,72,All,Industry&Combos,1,0,0,2015,2015,491,1,Phase 2,0,safety/efficacy,0,4.276666119016055,"(4,5]"
2265,2812,study to evaluate the safety and efficacy of oral cr845 (difelikefalin) in patients with primary biliary cholangitis (pbc) and moderate-to-severe pruritus,Recruiting,2,0,0,Cholestatic Pruritus,drug or biologic,Early,60,All,Industry&Combos,1,0,0,2019,2019,556,1,Phase 2,3,safety/efficacy,2,4.0943445622221,"(4,5]"
3227,4522,ledipasvir/sofosbuvir fixed-dose combination + ribavirin in subjects with chronic hcv with advanced liver disease or post-liver transplant,Completed,4,1,1,Chronic HCV Infection,drug or biologic,Early,339,All,Industry&Combos,1,0,0,2013,2013,487,1,Phase 2,0,NA,0,5.82600010738045,"(5,6]"
4071,7844,a study of abi-h0731 + nucleos(t)ide as finite treatment for chronic hepatitis b patients,Terminated,5,0,0,Chronic Hepatitis B,drug or biologic,Early,92,All,Industry&Combos,1,1,0,2018,2018,858,1,Phase 2,0,NA,0,4.5217885770490405,"(4,5]"
2114,2528,phase ii trial of neoadjuvant pembrolizumab for patients with early stage gastroesophageal adenocarcinoma,Recruiting,2,0,0,Gastroesophageal Junction Adenocarcinoma|Gastric Adenocarcinoma|Esophageal Adenocarcinoma,drug or biologic,Early,33,All,AllOther,0,NA,0,2019,2019,1209,0,Phase 2,1,NA,1,3.4965075614664802,"(3,4]"
3332,4761,an efficacy and safety study of plecanatide in adolescents 12 to <18 years of age with chronic idiopathic constipation,Completed,4,1,1,Chronic Idiopathic Constipation,drug or biologic,Early,124,All,Industry&Combos,1,0,0,2017,2017,614,1,Phase 2,4,safety/efficacy,2,4.820281565605037,"(4,5]"
